Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Income_cat,Age,Education_Level,Marital_In_Relationship,Marital_Not_In_Relationship,Marital_Other,Children,Customer_Fidelity
38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,"(1729.999, 32011.0]",38,2,True,False,False,0,4591
23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,"(71819.0, 666666.0]",79,3,False,True,False,0,4546
51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,"(32011.0, 44529.0]",45,2,True,False,False,2,4516
20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,"(32011.0, 44529.0]",79,2,True,False,False,0,4631
91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,"(71819.0, 666666.0]",76,3,True,False,False,1,4422
86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,"(32011.0, 44529.0]",40,2,False,True,False,1,4567
41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,"(32011.0, 44529.0]",43,2,True,False,False,0,4654
42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,"(1729.999, 32011.0]",46,2,True,False,False,1,4503
63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,"(58482.0, 71819.0]",76,3,True,False,False,1,4517
0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,"(58482.0, 71819.0]",71,3,True,False,False,1,4133
69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,"(32011.0, 44529.0]",74,2,True,False,False,1,4432
89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,"(1729.999, 32011.0]",56,2,False,True,False,0,4507
4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,"(44529.0, 58482.0]",49,2,True,False,False,2,4362
19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,Desconocido,39,2,False,True,False,1,4458
26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,"(32011.0, 44529.0]",36,2,True,False,False,1,4358
96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,"(71819.0, 666666.0]",60,3,True,False,False,0,4183
34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,"(1729.999, 32011.0]",36,3,False,True,False,0,4002
56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,"(32011.0, 44529.0]",62,3,True,False,False,0,4378
31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,"(32011.0, 44529.0]",55,2,True,False,False,1,4591
8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,"(44529.0, 58482.0]",73,3,False,True,False,2,4572
4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,"(58482.0, 71819.0]",79,3,True,False,False,0,4458
55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,"(44529.0, 58482.0]",74,3,False,True,False,2,4268
37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,"(58482.0, 71819.0]",55,3,True,False,False,1,4144
76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,"(1729.999, 32011.0]",49,2,True,False,False,1,4264
99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,"(32011.0, 44529.0]",52,2,False,True,False,1,4102
53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,"(44529.0, 58482.0]",82,3,False,True,False,0,4477
3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,"(71819.0, 666666.0]",45,2,True,False,False,1,4390
88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,"(1729.999, 32011.0]",40,3,True,False,False,1,4438
4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,"(1729.999, 32011.0]",68,2,True,False,False,1,4516
80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,Desconocido,66,3,False,True,False,0,4200
19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,"(1729.999, 32011.0]",50,3,True,False,False,1,4234
72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,"(71819.0, 666666.0]",49,2,False,True,False,0,3965
24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,"(1729.999, 32011.0]",29,2,True,False,False,0,4561
92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,"(32011.0, 44529.0]",57,2,True,False,False,1,4365
96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,Desconocido,74,2,False,True,False,3,4143
39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,"(71819.0, 666666.0]",71,3,True,False,False,2,4562
29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,"(58482.0, 71819.0]",68,2,False,True,False,1,4012
2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,"(71819.0, 666666.0]",61,3,True,False,False,0,4651
54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,"(32011.0, 44529.0]",48,2,False,True,False,1,4507
54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,"(71819.0, 666666.0]",48,2,False,True,False,0,3986
57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,"(58482.0, 71819.0]",47,2,True,False,False,2,4346
55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,"(71819.0, 666666.0]",70,3,True,False,False,0,4551
30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,"(58482.0, 71819.0]",59,2,False,True,False,0,4417
31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,"(1729.999, 32011.0]",37,2,False,True,False,1,4026
57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,Desconocido,43,2,False,True,False,1,4341
63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,"(44529.0, 58482.0]",57,3,True,False,False,1,4082
12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,"(71819.0, 666666.0]",43,3,False,True,False,0,4324
18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,"(58482.0, 71819.0]",50,2,True,False,False,2,4624
26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,"(58482.0, 71819.0]",73,2,False,True,False,1,4460
8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,"(58482.0, 71819.0]",74,3,False,True,False,1,4347
29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,"(58482.0, 71819.0]",77,2,True,False,False,0,4169
75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,"(1729.999, 32011.0]",54,2,True,False,False,1,4368
0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,"(32011.0, 44529.0]",58,2,True,False,False,2,4013
19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,"(71819.0, 666666.0]",46,2,False,True,False,1,4066
4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,"(58482.0, 71819.0]",67,2,True,False,False,1,4239
90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,"(71819.0, 666666.0]",55,2,True,False,False,3,4411
1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,"(58482.0, 71819.0]",71,3,True,False,False,0,4620
25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,Desconocido,52,2,True,False,False,1,4617
29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,"(58482.0, 71819.0]",66,2,True,False,False,1,4433
88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,"(58482.0, 71819.0]",50,3,True,False,False,2,4414
58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,"(1729.999, 32011.0]",73,2,True,False,False,0,4024
68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,"(32011.0, 44529.0]",48,2,False,True,False,1,4521
34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,"(71819.0, 666666.0]",53,3,True,False,False,0,4635
40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,"(71819.0, 666666.0]",49,2,False,True,False,0,4589
12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,"(1729.999, 32011.0]",49,2,True,False,False,0,4262
9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,"(44529.0, 58482.0]",60,2,True,False,False,0,4507
87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,"(1729.999, 32011.0]",40,2,False,True,False,1,4633
5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,"(1729.999, 32011.0]",56,2,True,False,False,1,4335
87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,"(1729.999, 32011.0]",52,2,True,False,False,1,4325
56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,"(32011.0, 44529.0]",62,3,True,False,False,0,4378
18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,"(71819.0, 666666.0]",38,2,False,True,False,0,4088
95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,"(1729.999, 32011.0]",65,2,True,False,False,2,4286
48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,"(32011.0, 44529.0]",55,3,True,False,False,2,4312
3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,"(44529.0, 58482.0]",68,2,False,True,False,1,3996
70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,"(71819.0, 666666.0]",52,2,True,False,False,0,4012
79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,"(44529.0, 58482.0]",58,2,True,False,False,1,4123
4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,Desconocido,68,3,True,False,False,3,4551
45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Desconocido,68,2,False,True,False,2,3997
87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,Desconocido,52,3,True,False,False,0,4182
69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,"(32011.0, 44529.0]",53,3,False,True,False,1,4062
84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,"(1729.999, 32011.0]",55,3,True,False,False,1,4000
30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,"(1729.999, 32011.0]",42,2,True,False,False,1,4002
72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,"(44529.0, 58482.0]",65,2,False,True,False,1,4548
37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,"(44529.0, 58482.0]",53,2,False,True,False,2,4408
44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,"(71819.0, 666666.0]",74,2,True,False,False,0,4174
32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,"(44529.0, 58482.0]",42,3,True,False,False,0,4338
0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,"(44529.0, 58482.0]",65,2,False,True,False,1,4305
43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,"(32011.0, 44529.0]",66,3,False,True,False,1,4055
59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,"(71819.0, 666666.0]",46,2,True,False,False,1,4399
68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,"(58482.0, 71819.0]",80,3,True,False,False,0,4372
35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,"(71819.0, 666666.0]",66,2,True,False,False,0,4016
94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,"(1729.999, 32011.0]",46,1,True,False,False,1,4165
15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,"(44529.0, 58482.0]",61,2,True,False,False,2,4242
56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,"(44529.0, 58482.0]",56,2,True,False,False,2,4476
17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,"(32011.0, 44529.0]",47,2,False,True,False,1,4521
18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,"(71819.0, 666666.0]",65,3,True,False,False,0,4533
46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,"(71819.0, 666666.0]",46,2,True,False,False,1,4203
40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,"(58482.0, 71819.0]",34,3,False,True,False,0,4560
27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,"(44529.0, 58482.0]",62,3,True,False,False,1,3968
95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,"(71819.0, 666666.0]",34,2,False,True,False,0,4507
19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,"(32011.0, 44529.0]",45,3,True,False,False,1,4528
27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,"(44529.0, 58482.0]",63,2,False,True,False,2,4256
25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,"(71819.0, 666666.0]",55,2,True,False,False,0,4120
74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,"(32011.0, 44529.0]",47,2,True,False,False,1,4459
85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,"(1729.999, 32011.0]",58,2,True,False,False,2,4317
37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,"(1729.999, 32011.0]",56,2,True,False,False,1,4191
65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,"(44529.0, 58482.0]",72,3,True,False,False,1,4338
13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,"(32011.0, 44529.0]",58,3,False,True,False,1,4089
63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,"(1729.999, 32011.0]",40,3,True,False,False,2,4262
83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,"(1729.999, 32011.0]",49,2,False,True,False,1,4397
69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,"(71819.0, 666666.0]",42,2,False,True,False,0,4438
87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,"(58482.0, 71819.0]",60,2,True,False,False,0,4460
37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,"(71819.0, 666666.0]",41,2,False,True,False,0,4398
51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,"(44529.0, 58482.0]",72,3,True,False,False,2,3985
23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,Desconocido,64,3,True,False,False,1,4317
72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,"(71819.0, 666666.0]",69,3,True,False,False,2,4014
10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,"(58482.0, 71819.0]",73,2,True,False,False,1,4236
42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,"(58482.0, 71819.0]",67,3,False,False,True,2,4440
10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,"(71819.0, 666666.0]",56,2,True,False,False,0,4103
96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,Desconocido,62,2,True,False,False,1,4286
51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,"(32011.0, 44529.0]",61,3,True,False,False,2,4283
21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,"(58482.0, 71819.0]",58,3,True,False,False,0,4433
31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,"(1729.999, 32011.0]",49,1,False,True,False,1,4654
61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,"(32011.0, 44529.0]",66,3,True,False,False,3,4321
37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,"(32011.0, 44529.0]",52,3,False,False,True,2,4005
74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,"(32011.0, 44529.0]",60,3,False,True,False,2,4300
46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,"(71819.0, 666666.0]",33,3,False,True,False,0,4582
4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,"(58482.0, 71819.0]",49,3,True,False,False,1,4191
73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,"(71819.0, 666666.0]",63,2,True,False,False,0,4400
47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,"(58482.0, 71819.0]",51,3,False,True,False,1,4269
13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,"(32011.0, 44529.0]",37,2,True,False,False,1,4431
36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,"(58482.0, 71819.0]",49,2,True,False,False,2,4583
47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,"(1729.999, 32011.0]",50,2,True,False,False,1,4573
49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,"(32011.0, 44529.0]",44,2,True,False,False,1,4269
94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,"(32011.0, 44529.0]",52,2,True,False,False,3,4640
65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,"(44529.0, 58482.0]",59,3,True,False,False,0,3972
59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,"(58482.0, 71819.0]",72,3,True,False,False,2,4030
96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,"(58482.0, 71819.0]",56,2,True,False,False,1,4078
28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,"(44529.0, 58482.0]",53,2,True,False,False,1,4526
12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,"(32011.0, 44529.0]",37,2,False,False,True,1,4012
57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,"(58482.0, 71819.0]",73,3,True,False,False,1,4592
10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,"(58482.0, 71819.0]",76,2,True,False,False,0,4459
4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,"(44529.0, 58482.0]",67,2,False,True,False,1,4320
49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,"(58482.0, 71819.0]",47,2,False,True,False,3,4254
3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,"(44529.0, 58482.0]",48,2,True,False,False,1,4219
64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,"(71819.0, 666666.0]",70,2,False,True,False,0,4277
0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,"(1729.999, 32011.0]",67,3,False,True,False,3,4327
20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,"(58482.0, 71819.0]",80,3,True,False,False,0,4565
91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,"(1729.999, 32011.0]",41,2,True,False,False,1,4139
9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,"(71819.0, 666666.0]",50,3,False,True,False,0,4388
98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,"(71819.0, 666666.0]",52,3,True,False,False,1,4084
83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,"(32011.0, 44529.0]",59,2,True,False,False,3,4192
27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,"(58482.0, 71819.0]",72,2,False,True,False,0,4187
63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,"(44529.0, 58482.0]",66,2,False,True,False,0,4269
46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,"(58482.0, 71819.0]",37,2,False,True,False,0,4203
84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,"(1729.999, 32011.0]",68,2,True,False,False,2,4088
58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,"(32011.0, 44529.0]",60,2,True,False,False,2,4033
78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,"(1729.999, 32011.0]",43,2,True,False,False,1,4315
4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,"(44529.0, 58482.0]",55,2,True,False,False,2,4033
17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,"(44529.0, 58482.0]",66,3,True,False,False,2,4114
77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,"(44529.0, 58482.0]",58,2,False,True,False,1,4050
56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,"(71819.0, 666666.0]",50,3,True,False,False,1,4619
79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,"(71819.0, 666666.0]",77,3,True,False,False,0,4524
90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,"(32011.0, 44529.0]",55,3,True,False,False,2,4001
96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,"(32011.0, 44529.0]",66,2,True,False,False,3,3969
44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,"(71819.0, 666666.0]",74,2,True,False,False,0,4174
81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,"(44529.0, 58482.0]",49,3,True,False,False,1,4013
77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,"(1729.999, 32011.0]",37,2,True,False,False,1,4014
21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,"(58482.0, 71819.0]",79,3,True,False,False,0,4238
16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,"(1729.999, 32011.0]",41,3,True,False,False,1,4122
80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,"(1729.999, 32011.0]",64,1,True,False,False,0,3978
45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,"(1729.999, 32011.0]",42,2,True,False,False,1,4535
63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,"(32011.0, 44529.0]",55,3,False,True,False,1,4077
34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,"(58482.0, 71819.0]",59,2,True,False,False,1,4295
14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,"(71819.0, 666666.0]",49,2,True,False,False,0,4431
13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,"(44529.0, 58482.0]",61,3,True,False,False,2,4455
52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,"(1729.999, 32011.0]",47,1,True,False,False,1,4622
98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,"(58482.0, 71819.0]",36,3,True,False,False,0,4372
93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,"(32011.0, 44529.0]",37,2,True,False,False,1,4359
38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,"(44529.0, 58482.0]",52,2,True,False,False,2,4460
24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,"(1729.999, 32011.0]",48,2,True,False,False,2,4146
80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,"(58482.0, 71819.0]",45,3,True,False,False,0,4011
82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,"(71819.0, 666666.0]",71,2,True,False,False,0,4247
20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,"(71819.0, 666666.0]",71,2,True,False,False,0,4492
81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,"(44529.0, 58482.0]",52,3,False,True,False,2,4054
50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,"(58482.0, 71819.0]",73,2,False,True,False,1,3964
60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,"(71819.0, 666666.0]",57,2,False,True,False,0,4166
63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,"(58482.0, 71819.0]",47,2,False,True,False,1,4222
54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,"(71819.0, 666666.0]",48,3,True,False,False,0,4568
